Article title	Section header	Previous context	Sentence	Follow-up context	Filler1	Rating1	Filler2	Rating2	Filler3	Rating3	Filler4	Rating4	Filler5	Rating5
How to Peel an Egg	Steps	 1. Prepare a hard boiled egg and let it cool. 	Soaking in ice water is a good way to speed this up ______.	2. Crack the shell at each end by firmly tapping the egg onto a hard surface such as a counter.	tomorrow	1	starting	1	process	4.5	work	1.5	today	2.5
How to Become a Corporate Architect	Completing Your Education	 1. Take classes in high school that will prepare you for architecture degree. In high school, take classes in math, physics, and art. 	These ______ will give you a solid foundation for your architecture courses in college.	They'll also give you an idea of the skills required to become an architect and help you determine if this career path is for you.	subjects	5	projects	3	days	2.5	abilities	4.5	results	1.5
How to Clean a Bathroom	Cleaning	 (...) 4. Clean the sink and counter area. (...) To prevent this you can use a specific rag which you use to clean only the toilet. (...) 	Clean the ______ of the toilet.	Wipe the exterior of the toilet, starting with the flush handle so as not to re-contaminate it, with a cloth soaked in disinfectant cleaner.	exterior	5	windows	1	part	3.5	majority	4	interior	4.5
How to Calculate If a Number Is Evenly Divisible by Another Single Digit Number	Steps	 (...) 5. If the number is divisible by 2 and 3, it is also divisible by six. 6. For a number longer than 3 digits, say abc,def,ghi, compute ghi-def+abc. 	If this sum is divisible by seven, then your original ______ is.	If you don't know if a three digit number is divisible by seven, add the units digit + three times the tens digit + twice the hundreds digit.	error	2	symbol	1.5	calculation	4	vector	2.5	number	5
How to Cut out Stencils for Painting	Steps	 1.	Take a piece of card stock or thin ______ of cardboard.	2. Draw on an ALMOST PERFECT design.	piece	4.5	fiber	3.5	ribbon	2.5	section	3	blade	2
How to Design Circuit Schematics Using Orcad Capture	Tips	 (...) * by clicking on the “Add Library” tab in the search window. A list of 	A ______ of available libraries will be displayed.	Double-click on the library you	box	3	list	3.5	history	4	category	2.5	catalog	4
How to Use the Video Picker Tool on wikiHow	Steps.	 The video adding tool on Wikihow can be tough if you don't know how to use it. 	This ______ will show you how to use it .		box	3.5	interface	3.5	videos	4	article	5	program	4
How to Take Photographs That Are the Correct Color	Learning how to select the correct white balance and light temperature settings.	 1. Learn how to identify white balance settings in different situations. (...) You know this when you see the pure white, pure blacks or pure gray on the viewfinder(if there is any item in these colors). (...) 	Become familiar with how different ______ of color temperature affects the colors of subjects in photographs.	Color temperatures refer to the amount of red or blue in the light of the photograph's setting.	areas	5	points	1.5	colors	1	patterns	4	degrees	4.5
How to Care for Mystery Snails	Intro	 Mystery snails (or pomacea diffusa) are common freshwater snails to breed and/or keep as pets. 	If cared for correctly, mystery snails live an ______ of 2-3 years.	By properly outfitting your tank, setting up your tank with care, and feeding your snails the right foods, you can maintain healthy, happy mystery snails.	average	4.5	longevity	3.5	elevation	1.5	adult	1	epoch	2
How to Derive the Quadratic Formula	Steps	 1. Take a piece of paper and write down the equationax + bx + c = 0 3. Subtract c/a from both sides.x + (b/a)x = -c/a 	Divide the ______ of the x term, b/a, by two and then square it.	Add this to both sides.(b/2a)b/4ax+(b/a)x+b/4a = -c/a + b/4a	section	1	size	2	energy	2	probability	3	coefficient	5
How to Create a Universal Language Project	Steps.	 (...) Esperanto has obviously failed at this point, and though everyone will need to have a good ground in English in today's world, we are still quite limited in global communication. (...) This is how languages like English, Spanish, French, Greek, etc... spread. 	This ______ is written in hope that others will contribute and help begin a project in creating more of a universal language.		article	5	dictionary	3	project	3.5	statement	4	fiction	2
How to Develop Your Own Drawing Style	Discovering Different Styles	 1. Research famous illustrators. (...) When researching famous illustrators: (...) *	Research the materials that they used and try to replicate the process by using the same ______.	* Famous historical illustrators include people like Jean André Castaigne, Edwin Austin Abbey, and Rose O'Neill.	source	4	fabrics	2.5	format	4	materials	2.5	fibers	1
How to Keep Yourself Happy	Steps	 1. Find things that make you happy. 2. Don't let things down. *	If you or a loved one has a setback either in a job or in a personal situation, look for the positive ______ in that situation instead of moaning about the negative effects.	* If your lose your job, then think about the prospect of finding a better job that pays more, has shorter working hours and can lead to a better more enjoyable daily life.	aspect	3	behavior	2	people	2	effects	4	affect	4
How to Open a Difficult Jar	Breaking the Seal on the Lid	 (...) 2. Use a butter knife or the edge of a metal spoon as a lever for another option. (...) * Listen for a pop sound as you work your way around the lid with the utensil. 	This ______ means you have broken the seal and can now twist off the lid.	3. Slap the base of jar with the palm of your hand for a hands-only method.	information	3	movement	2	click	3.5	point	2.5	sound	5
How to Survive a Shark Attack	Warnings	 *	A shark's mouth and teeth are very close to its nose, so be careful when trying to hit the animal's ______ with your bare hands.	* Shark attacks are potentially deadly.	stomach	3	skin	3	horns	1	snout	4.5	noses	3.5
How to Install an SSD in Your Laptop	Install SSD	 (...) 6. Remove the battery. It's a good idea to remove the battery before proceeding. 	Press and hold the power button for 5 seconds to drain any charge that is still lingering in your laptop's ______.	7. Remove access panel.	components	4	sockets	2.5	cabin	1	walls	2	circuits	3.5
How to Become a Rap Singer (for Kids)	Steps	 	Start watching freestyle and underground rappers from Youtube.com or other ______	2. Start listening to some tracks to understand their flow and technique.	platforms	4.5	projects	3	jobs	1	websites	3.5	days	1
How to Be a Better Person	Part Two: Exercising Compassion	 (...) 2. Practice empathy. (...) Remember that everybody has his or her own struggles and insecurities; understanding this will help you be more sensitive toward other peoples' feelings, learn to bond with others, and feel less isolated. *	This ______ will come in handy when trying to improve your personal relationships with friends, family members, and lovers.	3. Show people that you care.	behavior	4	ability	4.5	activity	4	skill	4.5	philosophy	4.5
How to Bypass a Firewall or Internet Filter	Browse using UltraSurf or JonDo.	 	Both ______ use the self-invented GIFT system with a high-encryption standard.	GIFT is a node-proxy anti-jamming system that claims to have higher standards than financial transaction industry security.	properties	1.5	projects	3.5	games	2.5	vehicles	1	programs	3
How to Rap	Learning to Rap	 1. Learn rhythm basics. (...) If your brain and body are not conscious and in tune with the beat, your rap will feel stiff and unnatural. (...) 	Listen to ______ of rap.	Listening to rap music will help expose you to the different types within the genre.	pieces	2	lots	4	music	3	legends	2.5	sections	2.5
How to Return an Item to Amazon	Getting a Refund or Replacement Online	 (...) 4. Click “Return or Replace Items” next to the item you want to return. The “Return or Replace Items” button should be to the right of the order that you want to return. 	Clicking this ______ will bring you to the next page in the return process.	5. Explain the reason that you want to return the item.	connection	2	prefix	1.5	point	2.5	button	5	symbol	4.5
How to Remove Blood Stains	Tips	 (...) * For hard, non-porous surfaces, it is more efficient to saturate a blood spot with a 10% bleach mix and then wipe away. This will disinfect and clean at the same time. *	Hot/ Warm ______ can be used, as the heat enables paricles to move faster, thus clearing out the stain faster.	However, it only works on thin fabrics that will be soaked in a basin of cool water after washing.	glue	1	water	5	fabric	3	bandages	4.5	makeup	2.5
How to Find Free Sheet Music from the Internet	Related wikiHows.	 Want to play for free? 	It can get expensive to buy every single ______ of sheet music you want.	Here's a guide to finding any sheet music for free from Internet.	volume	3.5	denomination	2.5	box	5	pile	3	piece	4.5
How to Use a Purse to Defend Yourself Against an Attacker Armed with a Knife	Diffuse the Situation and Get Out	 1. Where you opponent has the advantage and you don't, you want to avoid violence. 	If they ask for your wallet or a ______ of jewelry, give it to them.	But don't give up your purse!	piece	2.5	pile	3	layer	2.5	scrap	4	part	1.5
How to Administer a Rabies Vaccination	Injecting the Vaccine	 (...) 2. Choose an appropriate injection site. (...) * Make sure that the site is not bruised, wounded, or injured. 	If one arm is injured, inject the vaccine into the other ______.	* Never administer the vaccine to an adult on the gluteal area.	shin	1	forearm	5	arm	5	branch	1	leg	1.5
How to Gram Stain	Steps	 (...) 10. Flood the smear with safranin counterstain. Wait thirty seconds. 	Counterstain is applied last to stain the decolourised gram-negative bacteria a pink or red ______.	Basic fuchsin, which stains anaerobic bacteria more intensely, may be substituted for safranin, but it is less commonly used.	background	3.5	color	5	shade	4	patch	3.5	coating	2
How to React to a Carbon Monoxide Leak	Keeping Yourself Safe in the Future	 (...) 2. Avoid operating cars, generators, or barbecues in enclosed spaces, such as garages. (...) 3. Stop smoking. 	Lighters and cigarettes, as well as sparklers, fireworks, and candles, can produce harmful ______ of carbon monoxide if burned for too long.	Do not light sparklers indoors, as they create a lot of smoke (and carbon monoxide).	amounts	5	emission	4	species	1	molecules	4	applications	2
How to Make a Lion Costume	Creating a Lion’s Tail	 (...) 3. Add hair to the tip of the tail. Use fabric glue to attach brown yarn or thin strips of brown fleece to the tip of the tail. *	Wrap brown ______ loosely around your hand 10 times.	* Pull the yarn off your hand and squeeze the loops at one end.	fabric	2.5	yarn	4.5	scarf	4.5	embroidery	5	velvet	3.5
How to Cook when You're Blind or Visually Impaired	Learning Basic Cooking Skills	 1. Know how to work with knives. (...) Always move your fingers when slicing to avoid getting cut. (...) *	An advanced and experienced cook is able to cut in different various positions, but a newly blind ______ who is experienced with cooking will probably never change his ways of cutting with a knife.		technician	1.5	athlete	2	mason	1.5	immigrant	1	person	3
How to Play the Trombone	Steps	 1. Assemble the trombone by carefully placing the screw-end of the bell section to the screw end of the slide and twist to form a right angle then from here adjust to your hand size, with the bell facing away from you making sure that when you hold it the bell is on the left. (...) 9. If you want to learn more than just how to mess about with it, there are seven positions for the slide. (...) *	Seventh ______ is all of the way out.	On most trombones, there is a 'lip' or marking where seventh position is, due to the end of the trombone being slightly after, this is to allow for players with long arms.	music	1.5	rhythm	3.5	place	3.5	guitar	1	position	5
How to Store Homemade Cookies	Layering Cookies in a Box or Tin	 1. Decide whether you need to layer the cookies or not. (...) * Sturdy or crispy cookies can be stacked in a container or placed in a plastic zip bag without the use of paper. 	These ______ include gingersnaps and oatmeal cookies.	* Cookies with a soft icing, such as frosted cookies or cheesecake bars, should be stored in a single layer.	ingredients	3	cookies	5	recipe	4	variants	3.5	properties	1
How to Convert MP3 to WAV	Audacity	 (...) 2. Click . (...) 3. Click . 	It's in the ______ of the drop-down menu.	Doing so opens a window for your to select music.	section	4.5	screen	2.5	backside	4	point	1	middle	3.5
How to Change The Font Size on an iPhone	Using the Display Settings	 (...) 4. Tap and drag the slider to adjust font size. You can make text smaller or larger than the default size. 	This ______ will apply to all Apple apps and any third-party apps that support Dynamic Type.	* This will not affect the size of your icon text.	change	4	program	3	filter	4	list	3	interface	4
How to Have an Open Marriage	Maintaining Your Arrangement	 (...) 4. Don’t cheat. (...) 5. Attend couples’ counseling. 	A counselor can help you and your spouse navigate the ______ of an open marriage.	Whether you’re considering an open marriage and established in an open marriage, a counselor can help facilitate communication and encourage closeness.	history	1.5	obstacles	4	idea	5	boundaries	4	difficulties	5
How to Cheer Up a Friend	Related wikiHows.	 	Of course, friendship sometimes takes a ______ of work, but isn't it worth it?	Here's everything you need to know in order to be there for your friend when he or she needs you.	pile	2	amount	3.5	month	3	lot	4.5	backseat	4.5
How to Protect Yourself from Your Food Allergy	Steps	 (...) 4. Jab the black tip firmly into your left thigh and hold it there for about 10 ""Mississippis."" (...) You will either want to be taken to the nearest hospital or call 911 as soon as or before you inject it. 	The Epi-Pen can be inserted through one ______ of any fabric, including denim, so there's no reason to remove your clothing.	5. If you have food allergies you will want to read ingredients on everything.	section	3.5	region	3	part	3.5	kind	3.5	layer	4
How to Take Care of a Dog	Tips	 * Reward them each time they obey your command. (...) * Stroke their fur from their head to tail, not vice versa as this will irritate them. *	Pay attention to your dog's ______.	Dogs will often give signs when something isn't right.	location	4	behavior	5	directions	2	collar	3	environment	3.5
How to Get Fluffy Towels	Changing Your Laundry Habits	 (...) 2. Give your towels ""room to breathe"" in the washer. If you're looking for fluffy towels, resist the temptation to stuff all of your laundry into a single load. 	To get the best ______ , you'll want to leave plenty of space in the washer for them so they can be properly rinsed and agitated.	This means:	results	5	ingredients	0.5	pile	1	kit	2	washing	3.5
How to Be a Ninja Punk	Tips	 * Don't be too loud or anything. Ninja are graceful people &mdash; not loud. 	Learn about the ______ of the Ninja.	* Go to anime conventions to get bokkens at half price.	history	4	legends	5	laws	3	philosophy	5	songs	3.5
How to Begin Living in Solitude	Steps	 (...) 13. 8\. (...) Well, you are truly on your own now, and have enough experience to find a way back to the future. 14.	Please don't edit these ______, unless you want to correct spelling and/or grammar mistakes.		steps	4.5	plans	2.5	details	3	people	1	writings	5
How to Have Healthy Hair	Using Healthy Products and Avoiding Damaging Treatments	 (...) * Most shampoos are made with strong cleansers called sulfates that strip the natural oils from your hair and cause it to get frizzy and frayed. (...) Check out a natural foods store for options. 	Try using no shampoo at all for the least ______ of chemicals.	* Conditioners made with aloe, coconut oil, shea butter and other pure substances add moisture to your hair and keep it looking healthy and fresh.	weight	1	awareness	3	abundance	3.5	source	1.5	amount	4.5
How to Look Like Katniss Everdeen	Doing Your Hair	 (...) 2. French braid your hair (...) If you're unsure of the process, there are many videos online that walk you through how to french braid. (...) *	Add a small ______ of your remaining hair into group 2.	Then, bring group 2 under group 3.	percentage	3	piece	4.5	portions	4	amount	4	pile	2.5
How to Wear an Adult Footed Blanket Sleeper	One Piece, chin-to-chest closure	 1. Prepare the sleeper for being taken off. (...) Although it matters with zippers working on pulling the tab from top to bottom, best practices with buttons and snaps is to follow from top to bottom as well. 	Remove your arms from the sleeper's ______.	With chin-to-chest pieces, you are free to pick which arm you remove first.	straps	2	waistband	3	armholes	5	skin	3	corners	3.5
How to Transform Yourself for the New Year	Intro	 	Most transformations take time, but many ______ see New Year's Day as a fitting moment to get started with resolutions to change their life for the better.	Whatever your transformation goal, be it educational, financial, appearance, approach to life, or something else, there are some methods to try that will help you set and achieve realistic goals.	travelers	1	people	5	teenagers	3	women	3	immigrants	1
How to Eat Indian Food with Your Hands	Related wikiHows.	 	In many ______ of India, eating with your hands is a tradition.	Though cutlery is used everywhere, a lot of Indians prefer to eat Indian food with their hands.	parts	5	towns	5	countries	1	languages	2	families	4
How to Play Volleyball	Steps	 1. Get your equipment. (...) 8. Just have fun and enjoy the sport! 9.	You don't always need bounderies which means you can hit the ball any time when its on your side without people telling you it was out of bounds and you can't hit it you can't have no bounderies in a real ______ .	You always have to play fair and be a good sport.	match	5	bowl	1.5	competition	4.5	game	4.5	stadium	2.5
How to Avoid Alzheimer's with Diet	Choosing Other Brain Healthy Foods	 1. Enjoy your coffee. If you like your regular caffeine, then go ahead and have it. 	Some studies suggest that moderate ______ of caffeine may actually decrease the chances of developing Alzheimer’s.	* Limit your intake to about three cups of coffee or 300 mg of caffeine per day.	consumption	4.5	amounts	4	meals	1.5	shortage	3	types	1.5
How to Apply Stage Makeup to Look Old	Shading the Face	 1. Shadow the arch of the nose and highlight the center. (...) Use a small shadow brush to dust a brown shadow over the arch, and dust a light highlight shade down the center of the nose to create the narrowing that usually occurs as you get older. (...) *	Choose a brown powder for shading that has gray undertones to create the most natural ______.	2. Contour beneath your cheekbones.	result	4.5	shadow	4	look	5	silhouette	2.5	color	5
How to Bend a 3‐Point Saddle	Making the Bends	 (...) 5. Use your body weight to bend the conduit at a 22.5-degree angle. Grip the short end of the conduit with your hands and push it downward, bending your knees and applying steady pressure as you create the bend. 	Stop when the ______ of the conduit lines up with the 22.5-degree mark along the bender head.	* You’ll make both outside bends at opposing 22.5 degrees.	section	4.5	bottom	5	part	3	diameter	1	interior	3
How to ""Create a ""Cheat Sheet"" (Allowed Reference Sheet)	Steps	 (...) 4. Write down what you need in neat writing. (...) 5. Divide the notes into sections - some like to divide it into sub-topics, some like to divide it into large concepts. 	Some ______ (I personally prefer this) like to divide every single bit of information.	Box off the divisions with the pencil and ruler, or by different colour pens, highlighters or a mixture of all of the above.	men	3	researchers	4.5	scholars	2.5	people	2.5	philosophers	2.5
How to Purchase an Adult Blanket Sleeper Online	Steps	 (...) 5. Know the varieties and types of adult blanket sleepers the store sells. (...) * Consider the design of the sleeper/fabric used of the sleeper. 	Some ______ use fleece and some use flannel.	Meanwhile, you'll also have to determine what design (also known as the ""print"") you'd like the store to use for your purchase.	regions	3	areas	3.5	restaurants	1	carriers	2.5	companies	5
How to Negotiate Mortgage Terms	Negotiating for a Lower Rate	 (...) 2. Request quotes for multiple interest rates. (...) 3. Compare the quotes. 	Look at each ______ of your quotes.	If one quote doesn’t match up with what the loan officer told you in person, then call and ask why.	match	3.5	place	3	one	4.5	pile	2.5	section	3.5
How to Surrender to the Present Moment	Be in Present moment	 (...) 3. Understand mind is very clever. More you will try to be in present moment more and more thoughts will come asking for your attention as if they must be dealt with immediately and there is a high possibility that you may end up getting identified with them. 	The moment you missed the present moment, thoughts will take you over so a high ______ of alertness is needed.	Use these thoughts as a cue to go deeper into the now.	collar	1.5	probability	2	priority	2.5	note	3	degree	4
How to Get a Lot of Players to Visit Your World on Growtopia	Making a Mini-Game World	 (...) 3. Add in the things that make it a parkour. Add items like Spikes, Lava, and other items that harm the player. 	A good idea is adding a ______ of Checkpoint at the start of each mini-game so players don't get annoyed by having to continuously respawn and go back to the mini-game they're playing.	4. Make the ""prize barrier"".	series	4.5	circle	2	style	2.5	team	1	type	5
How to Write a Good Ending to a Story	Explaining the Journey	 	Write out a reflection about the ______ of the events of the story.	Clarify the significance of the sequence of events that you have arranged.	logic	3.5	consequence	3.5	explanation	4	significance	4	result	3
How to Make a Pop Up Flower Greeting Card	Making a Card With Centerfold Pop Up Art	 (...) 2. Draw an ice cream cone on your card. (...) Draw a rough outline around this spot so you know what spots it will cover. 	It should start at the bottom of the card and extend upwards and outwards, like the ______ of an ice cream cone.	3. Measure the dimensions of your centerfold flower.	arms	1.5	shape	4.5	border	2.5	exterior	4	silhouette	3.5
How to Create a Book of Your Original Poetry	Assembling a Homemade Book	 (...) 8. Glue the cover on the cardboard. (...) You want to make sure the cover is only securely. *	Place the cardboard onto the ______ of the cover page.	Make sure to fit the cardboard within the border you just drew.	perimeter	3	backside	5	walls	1.5	interior	3.5	fabric	2.5
How to Be a Good Online Boyfriend or Girlfriend	When You Have Met	 1. Send them small gifts. 	Send small gifts such as chocolate, flowers, a card, etc. Send them to their ______ of work so they have something to cheer them up in the middle of the day.	If they don't work, send them to their home.	day	2	schedule	1.5	areas	3.5	place	5	stuff	1.5
How to Budget During a Recession	Finding Alternative Forms of Income	 (...) 4. Get a better job. Although you might resist the urge to look for a new job during a recession, there may still be opportunities that come along. 	Do not let the economic downturn prevent you from finding a better ______.	That does not mean that you should throw caution to the wind and quit you current job, it just means that if an opportunity comes along you should take it.	schedule	2.5	position	3.5	outfit	1.5	employers	3	partner	1
How to Convert a Battery Powered Device to a Rechargeable Device	Tips	 * In this case, jumper wire as connector has been used. *	Any ______ of connector can be used.		configuration	3	manufacturer	3.5	thickness	3.5	layout	2	type	5
How to Do an Arabesque Pirouette	Related wikiHows.	 	A pirouette is a special ______ of spin, generally related with ballet.	An arabesque is when you raise a leg 90˚ behind you.	ability	2.5	type	3.5	feat	4	section	1	instance	4
How to Make a Resume	Tips	 (...) * Consider leading with your strong suit, whether it be education, skills, work or volunteer experience. (...) * Detail your duties within each position but don't go overboard. 	Accomplishments are more impressive than a ______ of duties.	""Cut expenses by 25% over six months while maintaining historic revenue levels,"" is more impressive than, ""Was responsible for a $500,000 budget.""	stint	2.5	list	3	division	4	breakdown	4.5	position	2
How to Become a Burlesque Star	Establishing Your Style	 1. Pick a name to fit your personality. 	Most burlesque ______ have a fun, original name.	To make your name unique, think about your personality.	dancers	4.5	films	1.5	sequences	2.5	adaptations	2.5	writers	2
How to Make a Pincushion	Making a Mason Jar Pin Cushion and Sewing Kit	 (...) 5. Push more stuffing into the openings. (...) The fuller the cushion, the better it will be at holding your pins! (...) 	Keep gluing the ______ of the fabric down until all of the ends are secured.	After you are happy with the level of stuffing in your cushion, start gluing down the rest of the fabric.	part	5	fibers	3.5	interior	3	ends	3.5	portions	4.5
How to Catch Rayquaza in Pokémon Emerald	Intro	 	This ______ helps you catch Rayquaza in Pokemon Emerald.	It can be very helpful.	goal	3	concept	2.5	puzzle	2.5	program	1.5	article	3.5
How to Prepare for Top Surgery	Steps	 (...) 2. Understand. (...) Everyone feels differently about their own body. 	Decide what is right for you and look at pictures of other ______ who have had top surgery.	Consider examples you consider ""good"" and ""bad"" and decide how you would deal with it if your result was not what you had hoped for.	people	4.5	male	2.5	chicks	4.5	clients	4	volunteers	1.5
How to Get an Hourglass Figure	Exploring Corset Training	 (...) 3. Break the corset in. (...) Wear it like this for a few hours everyday until the corset looses some of its stiffness and adjust to the position of your ribs and hips. 4.	Tighten the corset a little more each ______ you wear it.	Once the corset is broken in, you can start to tighten it a little everyday, to begin the process of waist reduction.	evening	3.5	weight	1	distance	4.5	hour	4	day	5
How to Decorate a Wedding Cake	Fresh Flowers	 1. Acquire pesticide-free, non-toxic flowers, perhaps from a local florist or an organic garden. (...) 2. Place the clean, fresh flowers in a nice arrangement on the cake right before it is displayed to guests. 	This ______ creates a simple but elegant wedding cake decoration.		program	2	gift	3	process	4	touch	4	mechanism	3
How to Have More Endurance	Tips	 *	Drink ______ of water before, during and after your workout.	(Only drink sips of water, because cramping might occur)	tank	2	tubes	3.5	bowl	1	amount	3	sips	5
How to Stay Rooted in Being	Sense perceptions	 (...) * Similarly become aware of other sense perceptions without any mental interpretation. (...) Can you just smell the air? 	Its all in the ______ of present moment.	* Can you keep some attention with in your body and sense perceptions and as you read?	energy	3.5	essence	3.5	space	2.5	state	3	window	2.5
How to Keep a Guinea Pig Safe Around Other Pets	Intro	 	Guinea pigs can be great pets for many families, even those with a ______ of other pets.	However, if you have other pets, you will need to take some precautions to keep your Guinea pig safe.	diversity	5	majority	3	family	2.5	abundance	4	variety	5
How to Use IRL ‐ Let’s Hang on Android	Inviting Friends To An Activity	 (...) 4. Change the name of the activity (optional). (...) For example, you may want to change ""Video Games"" to ""Fortnite"" or ""Minecraft"". 	Or change ""Grab a burger"" to the ______ of a specific restaurant.	5. Select ""When"".	acronym	3	interior	2.5	appearance	1	name	2.5	decor	1
How to Teach Sequencing to Preschool Children	Related wikiHows.	 	Sequencing is understanding how a ______ of objects, events, and time occur in a specific and logical order.	This is a very important concept for preschool children to develop, as it allows children to understand patterns that make the world more understandable and predictable.	subset	4.5	generation	1	catalog	4	system	3	series	4
How to Store Apple Cider Vinegar	Checking on Your Vinegar	 (...) 2. Use the expiration date as a guide, not a rule. (...) It can be safely used for many years afterwards, so you don't need to throw it away unless you've noticed a decrease in flavor. (...) 	Notice changes in the vinegar's ______.	It's very, very rare for apple cider vinegar to go bad, but you may notice a change in the taste or smell.	smell	3.5	structure	3	color	5	composition	5	flavor	5
How to Make a Lyric Video for YouTube	Using iMovie	 (...) 8. Find a font style you like. (...) Click on the one you like. 9.	Add the ______ of the lyrics.	Click on Play, and wait until the person starts singing.	memory	2.5	location	3	pronunciation	3	rest	3.5	source	4.5
How to Count to 20 in German	Tips	 (...) * The R sounds are rolled gutturally, not with the tongue. It is difficult at first, picture the French ""r"" but more profound, until you get a rolling sound. *	The umlaut (ü) is probably the most difficult ______ since there is no sound like that in English.	Try to speak ""oo"" and ""ee"" at the same time (that means go from ""oo"" to ""ee"" and stop halfways), then you get the right tune.	one	5	sounding	4.5	pronunciation	5	phenomenon	2	explanation	5
How to Make Rice Papad	Steps	 1. Soak rice in water for two to three hours, drain away the excess water, put the rice and water in a blender, blend for a while or stone grind it. (...) 4. Dry them in the sun for a day or two till they are dry. 	Deep fry each ______ for few minutes.	Serve Hot.	bowl	1.5	box	1.5	bread	2	container	3	papad	4.5
How to Be a Clan Leader on Animal Jam	Setting Up	 1. Choose a den. (...) Here are some suggestions: (...) *	For the medicine cat, use mats and ______ of treetop gardens plants.	Lots of plants.	bushes	2	lots	4.5	cushions	3	plantations	3	vines	2
How to Play ROBLOX As a Guest	Steps	 (...) 3. click the games button. Scroll through and find a game that looks interesting. 	Play the game and have ______ of fun!		amount	2	beads	1	pictures	3	lots	5	minutes	3
How to Find a 1943 Copper Penny	Steps	 1. Grab a handful of copper pennies. (...) 3. Sort out all the ""wheat backs"" into a separate jar as you find them. 	Examine the ______ of wheat backs with a magnifying glass.	Look for the date ""1943""	bundles	3.5	group	4	pile	3.5	front	4	layers	2.5
How to Fix USB Drive Need to Format Error and Recover Data	Steps	 1. One is unplug it and plug it to the computer again, hope that it will be fine. (...) One is do what you're told, Format it (this solution sucks too) and find a recovery tool,Scan your drive, and recover the data you saved in your USB drive. 	Yes, This ______ is gonna talk about the first and the second solution here( that two solutions you can do them at home).	the third solution seems a little risky, actually, it is not.	story	3	discussion	4.5	article	4.5	people	1	documentary	1
How to Find Good Friends As an Adult	Making Plans	 (...) 3. Share experiences. (...) * While sharing experiences, strive to meet new friends together. 	The two of you can be open to chatting up strangers in a bar or joining a few mutual ______ for a dinner party.	4. Accept invitations.	connections	4	friends	4.5	clients	2.5	relatives	5	clubs	5
How to Buy Land in Koh Phangan, Thailand	Steps	 1. Buy a ticket to Bangkok. 	Walk to the domestic terminal and catch an internal ______ to Koh Samui.	3. At Koh Samui airport, walk up to the information desk and say you want to go to Koh Phangan.	delivery	3.5	railway	2.5	trolley	1.5	flight	5	bus	2
How to Watch the Olympics Online	Intro	 There are many options for a sports fan to watch the Olympics online, whether you wish to view live video, video on demand or relive past Olympic Games. 	This article will explain how you can view video coverage of the 2008 Games of the XXIX Olympiad in Beijing, as well as how you can relive the ______ of previous Olympic Games.		days	4.5	achievements	4	highlights	5	coverage	4.5	athletes	3
How to Choose a Subject to Teach	Examining Your Preferences for Different Age Groups	 (...) 3. Decide if you’re interested in working with elementary school age students. Teaching elementary students will largely influence the type of material and the type of teaching you’ll be engaging in. 	Teaching elementary ______ offers various rewards and challenges that other age groups do not and will greatly influence how you approach subject matter.	If you pick teaching at the elementary level, you'll be working with young children, so you’ll need to be geared toward handling age-related issues.	writers	2.5	students	5	curriculum	3	information	1	homework	2.5
How to Support Your Nation's Armed Forces	Supporting Them	 (...) * Prevent war and be a pacifist. (...) Don't blame individual soldiers or other members of the armed forces for following orders. 	Take part in the efforts to change those ______ of orders, instead.	2. Support the forces.	branches	1.5	areas	2	kinds	3.5	changes	2	patterns	3.5
How to Calculate Spearman's Rank Correlation Coefficient	Steps	 1. Draw your table. You will need: (...) 	Fill in the first two columns with your ______ of data.	3. In your third column rank the data in your first column from 1 to n (the number of data you have).	box	2.5	database	2.5	types	4.5	pairs	4	summary	3.5
How to Prune Old Apple Trees	Pruning the Tree	 (...) 4. Cut back any excess branches that block light. (...) If you notice any branches that are closer than to the ground, cut them off as well. *	If the tree is overgrown, leave gaps between the ______ of the branches.	If the tree is stunted, leave between the spurs.	fibers	1.5	stems	3	margins	4	tips	4.5	areas	3.5
How to Make Eggnog	Making Traditional Eggnog	 (...) 4. Combine the egg mixtures. (...) The goal is to keep the fluffiness of the whites, which means you can stir too quickly or press too hard. 	Add the rum, milk and ______ of the cream.	Slowly pour the rum into the egg mixture, gently folding it in with your spatula.	cinnamon	2	oil	1	ingredients	2	purity	1	half	5
How to Discover Your Fighting Style	Finding Yourself as a Fighter (Any Discipline)	 (...) 3. Spar regularly. (...) 4. Watch other fighters for inspiration, but not to copycat. 	Remember -- the best fighting style is completely unique to you, and trying to copy another's ______ will just lead to defeat.	That said, you can, and should, borrow techniques you like from other fighters, incorporating the work of the masters into your own personal style.	mistakes	3.5	style	5	opponents	4	personality	4	techniques	5
How to Look After Your Hair in Winter	Steps	 1. Use good hair care products 2. Eat lots of fruit and vegetables to get lots of vitamins which will make your hair more shiny and stronger. *	Make sure you are eating at least 5 ______ of fruit and vegetables a day.	* If you know you don't have enough vitamins in your natural diet take vitamin tablets, although you may need to check that this is OK with your doctor first, and perhaps it won't be necessary to take them every day, just a boost every few days.	months	1	plants	1	servings	4.5	grains	1.5	layers	2
How to Sell Yourself in an Audition Video	Steps	 (...) 2. Find a website to audition for according to your talents. (...) 3. Consult an adult before sending the video. 	They might have tips or restraints before doing this ______.	4. Send your video.	process	3	program	2	stuff	4.5	videos	5	mission	3.5
How to Cook Mole Poblano	Engredients	 1. Things You'll need: (...) 	of Chicken or Pork broth	* 1 cinnamon stick	milk	1	samples	1.5	application	3	cups	5	grains	2.5
